Market Name,Latitude,Longitude
Pampady,9.5656334,76.6443645
Wadakkanchery,10.6027705,76.20258139405338
Irinjalakkuda,10.3815259,76.1748017704823
Munnar,10.0869959,77.0600915
Kalyanpur,22.343456,88.414597
Teliamura,23.8245404,91.63163847188576
Kalsi,30.58491865,77.8828121149204
Biokhora,,
Barpathari,23.297425,91.404781
Kamalghat,,
Champaknagar,23.8042948,91.4891292
Mohanpur,23.94291905,91.33469934938347
Garjee,23.430471,91.4967565
Silachhari,,
Nutanbazar,,
Panichowki,,
Masmara,,
Pabiacherra,,
Bishalgarh,23.66055785,91.28928269478489
Bishramganj,23.5984072,91.3591951
Jumpuijala,,
Panisagar,24.2954598,92.15316536881491
Dasda,23.91816885,92.20300495700947
Kadamtala,24.44396795,92.20725809286651
Gandacharra,,
Kulai,12.9674838,74.8063798
Halahali,24.1049237,91.8256187
Masli,,
Cachar,24.758639950000003,92.88166475768219
Kharupetia,26.5174808,92.1469174
Garobadha,25.580509,90.022644
Rongram,25.63972735,90.2482655775471
Tura,25.5125616,90.2171526
Kotadwara,,
Rishikesh,30.1086537,78.2916193
Dehradoon,,
Haldwani,29.2144809,79.5279012
Ramnagar,29.394835,79.126934
Roorkee,29.8693496,77.8902124
Jaspur(UC),,
Bazpur,29.1580489,79.1467418
Gadarpur,29.0939082,79.30976492109349
Kashipur,29.2117573,78.9617306
Port Blair,11.6645348,92.7390448
Katpadi(Uzhavar Santhai),,
Baruipur(Canning),22.339440503184225,88.51157167619748
Coochbehar,26.340623,89.48121632866385
Pundibari,26.4131624,89.3940622
Diamond Harbour,22.1926886,88.1894879
Barabanki,26.942140600000002,81.38560869842297
Gonda,27.1103723,81.92389055909715
Jhijhank,,
Jasra,21.349478110421124,83.34616611784729
Unnao,26.5673264,80.61981926788883
Saharanpur,29.9856799,77.50406459058038
Jhansi,25.529855,78.65278023546288
Lalitpur,24.6999688,78.51861997577222
Faizabad,26.7807986,82.1486589
Vishalpur,24.98375845,80.6537228718885
Agra,27.1752554,78.0098161
Bahadurganj,26.2702242,87.8372762766685
Supaul,26.2768089,86.79596143977405
Gaya,24.67938895,85.01158329654393
Teghra,25.472746,85.93684661694631
Samastipur,25.77478845,85.867231389952
Kahalgaon,25.26518945,87.2835413545292
Koderma,24.4931239,85.55608107203881
Lohardaga,23.4770044,84.69866841888845
Jamshedpur,22.8015194,86.2029579
Gadhwah,,
4th Mile Dimapur,,
Tseminyu,25.9266027,94.20880156803302
Ziro,27.538668,93.815355
Meham,28.980347702619873,76.26125192541438
Hassanpur,28.0173749,77.45120036419466
Bhuna,29.523168,75.68834222697707
Pataudi,28.30147985,76.75007013436556
Hathin,28.03538915,77.22431984752508
Phagwara,31.2206734,75.7696463
Jagraon,30.8041704,75.4753645
Aatpadi,,
Dhenkanal,20.835149350000002,85.60223048169827
Bampada,21.50829805,86.87720344073864
Jaleswar,21.7976371,87.2200637
Karanjia,21.786376150000002,86.06605285191021
Bhanjanagar,20.02091565,84.48641719544607
Pallahara,21.43357875,85.19235006354975
Angaura,,
Keezhampara,9.71114705,76.73308406417206
Kattakada,8.5072457,77.0829921
Sonamura,23.4757939,91.2653482
Tinsukia,27.4879722,95.3601855
Sibsagar,26.9834936,94.6394226
Darjeeling,27.0377554,88.263176
Kalimpong,27.0702869,88.4723676
Akbarpur,26.4200687,82.5382541
Atarra,25.2589804,80.61822169835852
Karvi,,
Moth,25.77799675,78.92538877298873
Meerut,29.0018557,77.76796714992041
Bihariganj,25.74098785,86.97578543969998
"Dibbala Bazar,RBZ",,
Lamlong Bazaar,,
Rajula,21.038617,71.4438845
Ranniangadi,,
Pandalam,9.2251208,76.6781249
Ezhamkulam,9.1535061,76.7712232
Omalloor,9.2427057,76.7558362
Parakkodu,10.6677799,76.71114320000001
Kuttoor,9.3587884,76.5881013
Dhara,24.4741425,75.6791174
Moovattupuzha,9.83689,76.39178902863769
Manjeri,11.1202289,76.1198109
Kondotty,11.1457203,75.9643753
Kottakkal,11.0004806,76.004758
Quilandy,11.46159795,75.70205209935727
Perambra,11.559725,75.7581231
Kallachi,11.68367375,75.66452241144711
Vengeri(Kozhikode),11.293783340314295,75.78982626348603
Nedumangadu,8.6052118,77.0028311
Kasargod,12.4914722,74.9877613
Kanjangadu,,
Neeleswaram,12.165012449999999,75.1609473631786
Irikkur,12.0519432,75.63144658664586
Taliparamba,12.0994756,75.47057356867221
Kuthuparambu,,
Thalasserry,11.7607698,75.48217983646745
Kannur,11.8763836,75.3737973
Chengannur,9.3182808,76.6085318
Aroor,9.8783108,76.3038826
Kuruppanthura,9.740193840946592,76.51754172031032
Kottayam,9.6287383,76.64553257390992
Thalayolaparambu,9.7855581,76.4474906
Chavakkad,10.5243344,76.07993905744445
Thrissur,10.5270099,76.214621
Koduvayoor,11.0917987,75.9545385
Vandiperiyar,9.5729206,77.0918879
Kattappana,9.7561717,77.1140611
Thodupuzha,9.8976798,76.7134225
Arani,12.686229449999999,79.29924435821087
Dhanbad,23.7952809,86.4309638
Simdega,22.59045725,84.54648050193023
Giridih,24.331454649999998,86.1548117295738
Madhupur,24.287867900000002,86.61050950020086
Alur,15.427691849999999,77.25782604935607
Gajapathinagaram,18.29918725,83.34888369038347
Suryapeta,17.2495432,80.1561982
Yellandu,17.590959050000002,80.3204608
Khammam,17.2465351,80.1500326
Karimnagar,18.4348122,79.1328042
Nagarkurnool,16.415762649999998,78.68304333132829
Mahbubnagar(Nawabpet),,
Umariya,23.86998665,79.55273806218145
Mandla,22.687107400000002,80.58163411525186
Kareli,22.9322525,79.0666841
Bijawar,24.63243415,79.48818387696684
Harpalpur,25.30255475,79.29183139589256
Silvani,23.30960765,78.44241482840388
Udaipura,26.20730275,78.28501750938239
Devandranagar,,
Ajaygarh,24.9029127,80.2578736
Jaithari,23.37967825,78.8876597354134
Anuppur,23.0346179,81.75102551563023
Agar,20.818591650000002,76.94315240306656
